text,label_original,aspect,sarcasm
"Diana Guzman is an angry young woman. Surviving an unrelenting series of disappointments and traumas, she takes her anger out on the closest targets.<br /><br />When she sees violence transformed and focused by discipline in a rundown boxing club, she knows she's found her home. <br /><br />The film progresses from there, as Diana learns the usual coming-of-age lessons alongside the skills needed for successful boxing. Michelle Rodriguez is very good in the role, particularly when conveying the focused rage of a young woman hemmed in on all sides and fighting against not just personal circumstances but entrenched sexism.<br /><br />The picture could use some finesse in its direction of all the young actors, who pale in comparison to the older, more experienced cast. There are too many pauses in the script, which detracts from the dramatic tension. The overall quietness of the film drains it of intensity. <br /><br />This is a good picture to see once, if only to see the power of a fully realized young woman whose femininity is complex enough to include her power. Its limitations prevent it from being placed in the ""see it again and again"" category.",0,Acting,No
"Like a lot of series pilots, Dark Angel's opener shows a mixture of great potential and a slight problem finding its own feet. Not that this is unusual in any way, but there is a feeling that it could have worked better if the story was tightened and focused a little more. In today's world where something has to catch on instantly or face cancellation, the series did itself a bit of a disservice by not coming out at least halfway focused, with all guns blazing.<br /><br />The ninety-minute pilot really feels like two episodes glued together, and both episodes have a problem with focus. In the first half, we are introduced to Max and filled in on what drives her. We also get a few interesting routines with Max using her abilities to win bets, interacting with a PI, or sorting out co-workers' domestic problems. The problem here is that this is nothing out of the ordinary for any human being with a normal set of genes, on television or otherwise.<br /><br />It's when we hit the second half that we get a story with a purpose and focus. Throughout the two halves, Max finds herself the focus of attention from a pirate journalist who feels it is mission in life to save the world by exposing one dirty dealer at a time. In the second half, the repercussions catch up with him, and Max reluctantly cleans up the resulting mess. This sets up the premise for the entire rest of the series, and it works, but it doesn't quite click if you get my meaning. It's like most of the pieces are there, but a couple that make a complete image have been left out. Perhaps they get filled in with later episodes, but that's beside the point. The fact is that the contents of this episode could easily have been told with twenty-eight less minutes.<br /><br />The last of the negatives is that a lot of the support cast are totally unendearing. Original Cindy in particular is an annoyance, and I doubt that changed during the next twenty episodes. While the acting isn't as bad as daytime soap, it isn't of such quality that I'd commend it. Jessica Alba is not the worst actor in the world, but she does come up short in terms of being convincing when the story needs it least.<br /><br />The good news is that the premise and the production values are all top-notch. In fact, this series was considered quite expensive to produce, and it is quite unfortunate that it was cancelled in order to be replaced by another show that didn't last a whole season. Especially when there was ample time for both shows - they could have simply cancelled one of the pieces of disingenious garbage they flog under the banner of reality TV. The fact is that we need more shows like Dark Angel, where imagination rather than overhype, are used to draw the attention.<br /><br />In all, I gave the Dark Angel pilot a seven out of ten. It never rises above the level of throwaway television, and it never got a chance to live up to the potential it shows within its own running time. But the potential is there, and that's often all that matters where pilots are concerned.",1,Plot/Story,No
"One of the biggest hits of 1926, Brown of Harvard is a exciting comedy/drama featuring regatta and football scenes that gave William Haines the role he needed to become a major star. It's patented Haines all the way: brash smart aleck who takes nothing serious until he is rejected by everyone wises up and becomes a man/hero and wins the girl. No one worked this formula like Haines. A terrific comic actor (Little Annie Rooney with Mary Pickford, Show People with Marion Davies), Haines could swing from comedy to tragedy with a change in facial expression. He is a total joy in this film as he was in Tell It to the Marines (with Lon Chaney) and West Point (with Joan Crawford), where he repeats the formula. Mary Brian is good as the girl, Jack Pickford is very good as the sickly roommate, Ralph Bushman is the rival. Edward Connelly, Mary Alden, David Torrence, Guinn Williams, and Grady Sutton co-star. This film is noted now for its homoerotic relationship between Haines and Pickford and for being John Wayne's film debut as a Yale football player (but I never spotted him). Haines was a top-five box office star starting with this picture through 1932. It's a shame he has been largely forgotten and that most of his films appear to be lost. He was one of the most appealing and talented actors of his time.",1,Acting,No
"I admit, I had to fast forward through this poorly transferred DVD after about 30 minutes -- NOTHING was happening, and everyone has already described the ""plot."" But has anyone mentioned the opening scene -- a butcher knife is stabbed through a wig and it's impaled on the grass in the front yard! I'm guessing the bratty kid did it, put it's never explained. Really trippy opening.<br /><br />I wish this had been a better written or thought out film, because what we're left with if pretty daft and a movie that makes no sense isn't a ""clever"" movie, it's just a poorly executed film.<br /><br />I would like to see a cleaned up version and if there was any missing footage, I would like to see if it would help. Otherwise, this is an odd little film that is best if fast-forwarded through!",0,Visuals/Effects,Yes
"I grew up watching this series. I was about seven/eight years old when it was on. I still remember the 1st episode which was called ""The New House."" It scared the h*ll out of me! I can almost still hear that statue, laughing madly. And the ending, oh my God! The hooror spirit comes in the room for the child: Yikes! This was classic TV and it was a one of a kind series. I have found a DVD collection for sale on the internet: 2 actually. My question to any readers: Has anyone purchased this set? Its a bootleg. Both sellers claim to have very good copy. I have a sketchy and poor DVD of ""The New House"" episode, and a couple of other episodes that are a bit better,however, if anyone knows if these are much clearer it would be worth it to me to buy and share with my kids. A great series, clever, scary and daringly supernatural. Thanks in advance to any fans who have the low down on any of this- In fact, I'd love to discuss it. Chris Walker",1,Plot/Story,No
"Such a delightful movie! Very heart warming. One can't help falling in love with the character of Gigi. He's adorable as a child and grows into a sensitive artist. The whole movie revolves around him. He lives in a wonderful world  living all life  curiosity, desire and anticipation. There is an elder brother who tries to steal his glory but really remains in the shadow all his life. The father is very stereotypically Italian and so is the mother. I wanted the father to come and reunite with the mother in the last scene  and have them cry and laugh. I also wish that there was at least something redeeming about the elder brother. His personality seems to have been trashed entirely. Passion and ardour  that's the key to life. And looking through the camera  focusing on small details and savoring the delicate details of life.",1,Plot/Story,No
"So they hyped the violence and it's been branded as sick. Well, the violence is the best bit I'm afraid, but unfortunately the characters are not developed enough to allow us to understand why they go on their (entirely predictable) rampage. This film has a truly dreadful script. We never get a chance to get to know Robert and his actions at the end are just plain pathetic. The acting isn't much better, either, the worst of them being the TV chef and the school teacher. The direction is clumsy, the pace enough to send you to sleep. And what on earth is the school film project all about? A comment on the film itself perhaps? The use of newsreel during the climactic murder is laughable. These guys obviously think they're intellectuals but are hopelessly out of their depth. How on earth they got the great Yorgos Arvanitis to light it I'll never know. And how they got the money to make it in the first place is an even greater mystery. Absolutely awful beyond comprehension.",0,Plot/Story,Yes
"This Is Pretty Funny. ""Saturday The 12th"", a?... Great Work... I Laughed Every Minute of the movie... This Is Like ""Scary Movie"" for the 1980's. great STUDENT BODIES-styled gags...<br /><br />Too Bad This Isn't On Video... But You Can Still Watch It on FLIX...",0,Plot/Story,No
"Wow...I don't know what to say. I just watched Seven Pounds. No one can make me cry like Will Smith. The man is very in-tune with the vast range of human emotion. This movie was skillfully and beautifully done. Rare to find such intense humanity in Hollywood today. I would compare it to ""Pay it Forward"" and ""Crash"" as far as the show of both light and dark in such a raw way. Definitely sticks with you for a long time and gives you a lot to think about. I have a deep love for and passion about movies like this one. Not usually one for a ""bad ending"" but rather a truth seeker that embraces emotion, raw life and something more than the shallowness that exists in abundance all around. Therefore I do not mind a little pain at the end. It is true to life that there aren't always happy endings. Sometimes its just not the happy ending you think it should be. Many people were able to live happy lives though love and life of one was lost. If you are someone who looks a little deeper than the rest you'll love this movie!",1,Acting,No
"This video rocked! Eddie is one of the funniest comics I have ever seen. Not only does he have class, he makes some of the funniest observations on history and culture that I have ever seen. Eddie is the most original and most intelligent comic I've seen in a VERY long time. Tell all those other stand-ups to get off the stage and let this ""executive"" reign!",1,Acting,No
"to movie,this movie felt like one of those after school specials,only lower budget and lower everything else.i guess this was supposed to an inspirational movie of some sort,but it didn't work for me.yet some how it comes across as preachy.it has very pale shades of Flash Dance,but so what?there just isn't any excitement in this movie.the dialogue is contrived and clichéd to death.of course,the whole movie feels like a bad 80's cliché.the acting was less than stellar,though that has a lot to do with what the actors were given(or in this case-not)to work with.on top of that is the poor song choices,with really bad lyrics.i felt embarrassed for all the actors involved.they are all talented,but you can't tell from this movie.this is just my opinion of course,but i have to give Flying AKA Dream to Believe a 1/10",0,Plot/Story,Yes
"The plot was predictable, and fighting with guns gets old, but this is a definate movie to look at if you have a low IQ and don't really care about real movies. I would endulge in true art movies, like 'Clerks', 'Something about Mary', 'El Mariachi', or 'La Taqueria'.",0,Plot/Story,Yes
"It makes the actors in Hollyoaks look like the Royal Shakespeare Company. This movie is jaw dropping in how appalling it is. Turning the DVD player off was not a sufficient course of action. I want to find the people responsible for this disaster and slap them around the face. I will never get that time back. Never. How is it possible to create such a banal, boring and soulless film? I could not think of a course of action that would relieve the tedium. Writing the required ten lines is incredibly difficult for such a disgraceful piece of cinema. What more can you say than reiterate how truly awful the acting is. Please avoid.",0,Acting,Yes
"Really, everybody in this movie looks like they want to be someplace else! No wonder, the casting is done not with the left hand, but rather not at all. I haven't seen anything worse than Natascha McElhone impersonating some sort of agent, carrying a gun. You don't use a spoiled city-brat-look in such a role. The only worse thing I can imagine is casting Doris Day as a prostitute. The rest of the cast is likewise awful, possibly with Hurt as the sole exception, sometimes you can see him trying, but suffering. Oh, did I mention that it is a completely insane story? Jeopardizing many peoples lives because you are divorced and want to see your family? Well, it must be because the guy (Weller) is German?<br /><br />2/10, because the photography could be worse.",0,Acting,Yes
"i actually thought this is a comedy and sat watching it expecting to laugh my ass off. pretty soon in became clear this is no comedy, or at least not a 'Jim Carrey type' one. what kept we watching was the characters - the movie starts with some pretty grim, troubled people, gathered together to try and fight one of their basic fears - fear of water, fear of swimming. we start to get bit by bit into their lives, witness their troubles, guess of their thoughts.<br /><br />actually i made it look much darker than it actually is, and besides the chain of events soon brings some light and hope to their lives.<br /><br />i probably wouldn't have watched the movie had i known its not a comedy but rather a drama, but i had good time, enjoyed the story and don't mind i spent about 90 minutes with it.<br /><br />many films treat the alienation between people in the western world, this movie shows how people can get together and help each other<br /><br />""and if in the light of dying day you meet her, don't let her pass you by and leave, don't loose her, she is your gift from the sun...""<br /><br />9/10<br /><br />peace and love",1,Plot/Story,No
"If you are one of the people who finds ""According to Jim"" great television comedy, this is going to rock your world. And might I add, kudos for proving that good talent, good writing and a charismatic star are all you really need on any network other than ABC, which prefers to air crap like Jim Belushi's show year after year.<br /><br />""K-911"" is a big, steaming, brown, German shepherd-sized ""thank you"" for all of the geniuses who loved the first movie. It's exactly what fans of that film and the lesser Belushi deserve. Jim's comedic chops and choice in projects are never far behind his ability to butcher a blues standard. Look for him to try to showcase all of his diverse lacks of talent into every project he hurls at the public like a surly zoo chimpanzee.<br /><br />If you enjoy Jim's work, this movie is your reward.",0,Plot/Story,No
"First off, anyone looking for meaningful ""outcome oriented"" cinema that packs some sort of social message with meaningful performances and soul searching dialog spoken by dedicated, emotive, heartfelt thespians, please leave now. You are wasting your time and life is short, go see the new Brangelina Jolie movie, have a good cry, go out & buy a hybrid car or throw away your conflict diamonds if that will make you feel better, and leave us alone.<br /><br />Don't let the door hit you on the way out either. THE INCREDIBLE MELTING MAN is a grade B minus regional horror epic shot in the wastelands of Oklahoma by a young, TV friendly cast & crew, and concerns itself with an astronaut who is exposed to bizarre radiation effects, wakes up in a hospital, and finds that his body is liquefying on him as he sits there feeling like a chump. The melting man is played by one Alex Rebar, who is recognizable for about the first four minutes of the film. But once he starts oozin' with Rick Baker's extraordinary special effects makeup he more resembles something you might find in a tin of spam before you drain off all the runny, viscous blebs of grease.<br /><br />The film has zero exposition and does not bandy about with plot points: There are a couple of scenes involving scientist types riding around on an absurd industrial conveyor machine who dutifully recite a few obligatory lines about the effects of radiation but the movie does not care, really. It's a freak show and a marvelous one at that with a decidedly sick sense of humor for those who can stomach it -- One great laugh comes when the melting man stumbles upon a young girl in the forest and is so at a loss for what to do that one of his eyes pops out. Hilarious.<br /><br />The ""hero"" of the film is played by Burr DeBenning, a fascinating character actor from the golden 1970s & 80s television scene who was sort of an early model for the Kevin Spacey prototype; slightly twisted, neurotic, and one step ahead of most everyone in the room even if he looks confused. He appeared just after this movie was made in a bizarre made for TV anthology horror piece called HOUSE OF THE DEAD (or THE ALIEN ZONE) that is regarded as one of the finest movies ever made in Oklahoma, which is where I suspect this film was made as well. The arid, cold looking rural midwestern landscapes are certainly the same, and the creek that one unfortunate fly fisher chooses for his afternoon of sport appears to be the same one that Cameron Mitchell fought off flying alien pancakes in WITHOUT WARNING ... which also had a sick sense of humor, a TV friendly cast, and some pretty outrageous gore. I definitely sense at least an aesthetic connection between the three movies, as well as THE SILENCE OF THE LAMBS which is of no surprise considering that director Jonathan Demme is a part of MELTING MAN's cast.<br /><br />Essentially, as others have pointed out, this is a 1950s B movie plot updated for later 1970s era special effects & the inevitable boobs. The movie it probably borrows most of it's ideas from is PHANTOM FROM SPACE with Peter Graves as an astronaut who also returns to Earth after being exposed to funky radiation effects that set him off on a killing spree. One of the things that I actually admire about the film is that absolutely no regard is given for the melting man's motivations: He simply goes on a rampage and the movie's drama comes from wondering if he's going to fall to pieces before certain characters fall victim to his madness. The budget for the film is also delightfully low and every dime spent on it is up there on the screen, Rick Baker's disgusting effects getting the lion's share of whatever was spent on this.<br /><br />Sick, disgusting fun best enjoyed with a crowd of friends and plenty of beer. Why can't people have made more movies like these? <br /><br />8/10",1,Plot/Story,Yes
"Raggedy Ann & Andy is the first movie I ever saw in the theaters. My dad took my sister and I, and the funny thing is - when we got home, dad asked us ""what do you want to do now?"" and we said we want to watch Raggedy Ann & Andy again! lol, and my dad actually took us back to the theatre to watch it again -- at least that's how I remember it. I was five years old at the time.<br /><br />This movie was pretty scary for a five year old. The scene with the giant ocean of sweets, and the hypnotic camel scene.. i don't remember a lot from this film, naturally, the beginning was magical, and a few scenes -- I wish I could find it again, and will likely seek it out now.<br /><br />I remember I loved Raggedy Ann & Andy.",1,Plot/Story,No
"This is awesomely bad and awesomely embarassing for a Canadian. We grow good wine. Our writers and poets are among the world's best. The National Ballet is rated among the top five companies in the world. BUT WE MAKE BLOODY AWFUL MOVIES! This one isn't especially bad. It's especially typical and typically bad, shot in two bit hotels and public parks with thin direction, high school level acting and ""gee whiz...lets see what this button on the camera does??"" photography. If Michael Moriarity was so intent on doing a Jack Nicholson impersonation, couldn't he at least have done a GOOD Jack Nicholson impersonation? And if the movie was shot in Vancouver, truly one of the loveliest cities on earth and also a centre of yacht building (part of the ""plot"") why in God's name do we let that endemic Canadian inferiority complex dictate that it be disguised as Seattle??? Not only am I mad about this film, I'm embarassed and more than a little ashamed. The Australians turn out some splendid stuff. We produce pretentious second rate piffle. Gawd!!!!!",0,Pacing,Yes
"This had to be one of the worst films ever. When Kate shows up and Jed is with a bunch of guys and they all start clapping...so Hollywood. Another bad scene was when Kate was running her hands over the pavement it appeared that she was examining the texture of the pavement. Andie's acting is so bad in this film - I could not connect with them or feel there love for each other. The other 2 women however were very good and overshadowed Andie. Anyway this was such a campy movie. I usually like these type of films but I just couldn't get into this film. Too many unlikely situations and again Andie's acting didn't help the film. Also, she is all gums. Lancome must put her makeup on with a putty knife because she looks glamorous in the commericals.",0,Acting,Yes
"""Read My Lips"" tells of a strange symbiosis which develops between a plain, socially maladroit female office worker (Devos) and her workplace trainee, a crude excon (Casel). As the film fleshes out this unlikely duo down to their ids they become embroiled in a chilling merging of the minds, each using the other for their own selfish reasons with an extraordinary outcome. Good stuff for anyone into character-driven films with strong psychodramatic undercurrents. In French with easy to read subtitles and good translation. (B+)",1,Plot/Story,No
"but just as entertaining and random! Love it or hate it, but don't expect a sophisticated plot or nail-biting cliffhanger. Think of it like Seinfeld, but without the follow-through and repeat performances of wacky characters (well...so far; i have a feeling i will develop favourites as the season continues).<br /><br />""Creature Comforts"" is not for the faint of humour - it's meant to be enjoyed with the least amount of effort on your brain's part. Which is why this show embodies everything i need in a program when i get home from work in the evening: superficial conversation in the background with just the right amount of ""cute"" to the characters for me to enjoy when i eventually look up from the computer to see what i'm missing.<br /><br />Funnier than most of today's sitcoms, calmer than an evening at NASCAR. Just the right mix of dead air and comebacks. Can't wait for the next one.",1,Plot/Story,No
"I love science fiction, I am fascinated by Egyptian mythology and I appreciate digital animation. I figured a movie that combines these three would be at least enjoyable. I could not have been more wrong: The story (or actually the lack there of) was completely uninspired and lacks imagination - while imagination usually is the biggest component of any science fiction story. The dialogue and acting are even worse than in an average porno movie. Especially Thomas Kretschmann gives new meaning to the term 'bad performance'. Bad acting wouldn't have been such a huge problem if only 'director' Bilal didn't take himself so seriously; all the lines sound like they are supposed to be poetic, it looks like Bilal really thinks he has made a piece of art here. Well, there's no art or poetry to be found in this piece of junk, only pretentiousness! This man should really stick to making comics, since he fails on all possible accounts as a director. Worst of all is the terrible digital animation, which is so ugly that it actually turns watching this movie into a physically painful experience. The graphics look so fake they even make the werewolves in 'Van Helsing' look like live actors! And since half the characters are CGI-animated, it is quite a problem that the CGI-effects look so fake. If the Egyptian Gods actually exist then Bilal's a dead guy, since they will no doubt take gruesome revenge on him for the ridiculous way in which he portrays them in this disastrously bad movie.",0,Acting,Yes
"This is Peter Falk's film. Period.<br /><br />I was 10 years old when this film came out; I was already a film maven at the time. Of course neither my parents nor I saw this film when it came out, but I was in love with the typeface of its ads & the aura that this was An Important Film. Okay, 34 years later I've finally seen the film--having never seen any Cassavetes-directed film previously. He's a hack, overall. Zero sense of timing, editing. Gena's performance reminds me too much of Dustin Hoffman's stint in ""Rain Man"": technically on par but entirely one-note. As Tom Cruise stole ""Rain Man,"" Falk takes the cake for this film.<br /><br />I was annoyed with Gena's performance, really throughout--it seemed better suited for ""Awakenings"" (blecch!). It's not all her fault: she's a basket case from first scene to last. We never find out why?? But Falk's character seems real & is performed WONDERFULLY by Falk as a seriously flawed man.<br /><br />Shave off at least an hour (an editor needed!), and this would have been an arresting portrait not of a woman under the influence but of a simple, Cro-Magnon, man coming to grips with a wife who doesn't work & yet cannot deal with her three kids & her husband's long hours of work.<br /><br />I'd rather remember Cassavetes for ""The Dirty Dozen"" or ""Rosemary's Baby."" He would have been a better director had he snipped his own tendency for excess--as he amply demonstrates with this film.<br /><br />Bob",0,Acting,Yes
"This is one horror movie based TV show that gets it right. Friday the 13th the series had no connection to the movies. Poltergeist the legacy: I'm not so sure. It may have been loosely connected to the movies. It feels like they just throw a famous title on a show so fans will watch it.<br /><br />It shows Freddy being burned by the Elm street parents(in the 1st episode I believe) and the amount of parents were disappointing. With all the kids he targeted in the 1st 3 movies, you'd expect there to be more parents. But oh well.<br /><br />Freddy is basically the narrator for the show. He watches the actions of people in the real world sometimes getting involved somehow. Just like other anthology shows like Tales from the crypt, there's a supernatural or surprise ending twist involved.<br /><br />The acting lacks but believe it or not: the violence sometimes surpasses that of the movie. This show lasted a couple of seasons and was made around the time of the 4th movie. i heard it was canceled due to protesting parents. I watched a lot of R rated stuff as a kid, so its a shame parents had to ruin it for everyone. 4 more movies came after the series , so it wasn't a total loss.",1,Plot/Story,No
